deliverableId,industryCategory,status,score,artifacts,paymentId,error,elapsedSec,checkedAt
setup-quick,admin_support,PASS,,2,dc532230-ef7c-4153-9926-ca5a5982c17e,"",5,2026-09-22T08:25:15.6598369+02:00
setup-full,admin_support,PASS,,4,1aea6c35-7c43-4c73-a2e4-270c7fd8bcb8,"",7,2026-09-22T08:25:30.4322224+02:00
setup-custom,admin_support,PASS,,3,95a3c7eb-9b52-4498-afb4-bee94a33de0a,"",5,2026-09-22T08:25:42.9880058+02:00
audit,admin_support,PASS,,2,f0a46bb2-c0e4-4e5e-b0d9-7c0c95ee4661,"",5,2026-09-22T08:25:55.8034399+02:00
integration,admin_support,PASS,,3,cd395802-475c-4764-bbd1-bf2e6a979733,"",5,2026-09-22T08:26:08.4959999+02:00
workflow-design,admin_support,PASS,,2,8cd7791e-0aec-4a3e-9983-7e15b969e8fe,"",5,2026-09-22T08:26:21.0265844+02:00
support-priority,admin_support,PASS,,2,1ec85613-f1f9-496e-9f1c-e5a0da32622a,"",5,2026-09-22T08:26:33.6009783+02:00
support-dedicated,admin_support,PASS,,2,7f8a9a36-2add-4723-bb51-4adb51a62367,"",5,2026-09-22T08:26:46.5959447+02:00
landing,admin_support,PASS,,0,ee03a0f7-fd23-4e28-aae4-b48f5eee241c,"",5,2026-09-22T08:26:59.1644675+02:00
website-business,admin_support,PASS,,0,2b3b99f1-7e53-424c-b74f-7a8560ec5b0d,"",365,2026-09-22T08:33:12.4695478+02:00
website-ecommerce,admin_support,PASS,,0,8820ac48-640b-47d8-adbd-62c6719fae4b,"",5,2026-09-22T08:33:25.0454641+02:00
white-label-setup,admin_support,PASS,,2,3a1c927f-e6a1-40f3-9944-a3c79b15fb22,"",5,2026-09-22T08:33:37.6625327+02:00
sales-enablement,admin_support,PASS,,2,2eac2d1c-035c-496f-8b07-1a3e16dd18b8,"",5,2026-09-22T08:33:50.2451538+02:00
vertical-package,admin_support,PASS,,2,c49774cb-e260-49ad-a642-1072b38e7202,"",5,2026-09-22T08:34:02.8759299+02:00
lead-gen-retainer,admin_support,PASS,,3,3fa3b709-6cc4-419d-a879-2f1752d30730,"",5,2026-09-22T08:34:15.4037973+02:00
ai-support-retainer,admin_support,PASS,,3,96149e08-4eff-4e53-a691-ada58976a7b9,"",5,2026-09-22T08:34:27.9975208+02:00
custom-software,admin_support,PASS,,2,bb19dccb-be52-4c00-a151-5b1d7f90c63a,"",5,2026-09-22T08:34:40.6252901+02:00
bundle-portal-presence,admin_support,PASS,,2,0113e884-5799-4184-93a3-deef7b2acd82,"",5,2026-09-22T08:34:53.2786829+02:00
bundle-sales-launch,admin_support,PASS,,2,8321e32d-d736-4569-89f0-156ee84ae9d6,"",5,2026-09-22T08:35:05.9796691+02:00
bundle-ops-clarity,admin_support,PASS,,4,8e999ec8-322a-43ed-aa80-3542d4f9df80,"",545,2026-09-22T08:44:19.2227494+02:00
setup-quick,ai_data,PASS,,2,1eedad6f-603b-4949-a8ae-4f71d0288fc3,"",5,2026-09-22T08:44:31.7727267+02:00
